"Level 1";"Level 2";"Level 3";"Priority";"Progress";"Start";"Due";"Duration (Days)";"Milestone";"Resources";
"Data gateway - direct access";"Common OEM use case with direct access";"## Install a gateway per tenant";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"To access your data you will need to install a data gateway - direct access for each tenant. (so 1 gateway for 1 tenant. 2 gateways for 2 tenants). Each gateway needs to be run in a separate windows VM.";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"SaaS integration charts - Direct access.png";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"## Use source tenant to move apps (QVF)";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"In this scenario you will use 1 tenant (the source tenant) to connect to your on premise data source using the data gateway - direct access. (same as with moving tables (QVD)) ";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"Using the APIs you will copy the template app, connect to the tenant database, reload the app, and move the app (qvf) to the customer tenant. (and repeat this for all your customers)";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"SaaS integration charts - Move apps.png";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"## Use source tenant to move tables (QVD)";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"In this scenario you will use 1 tenant (the source tenant) to connect to your on premise data source using the data gateway - direct access. (same as with moving apps) ";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"For each customer you will reload the template app. But in this case you will save the loaded tables (during a reload) to an S3 bucket. Since each customer tenant has access to his own bucket, it can now reload its copy of the template app with its own data. ";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"SaaS integration charts - Move QVD.png";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"# REST API";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"You can also just load the data directly into the app if you have a REST connection available to your database. ";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"SaaS integration charts - Direct REST access .png";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"Data movement to cloud targets from on-premise and cloud sources";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"Based on a schedule your can move all changes in your source database to the cloud.";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"Once the data is refreshed your app is automatically refreshed with the most recent on premise data.";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"Data Movement Architecture.png";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"> The landing starts with a full load. You can then keep the data up-to-date using CDC (Change Data Capture) technology, or with full loads scheduled to reload periodically. CDC is supported by all sources, with some limitations. The database must support change processing and be configured adequately.";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"[Read more on Qlik help](https://help.qlik.com/en-US/cloud-services/Subsystems/Hub/Content/Sense_Hub/Gateways/replication-gateway.htm)";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"[Supported data sources when using Data Gateway - Data Movement](https://help.qlik.com/en-US/cloud-services/Subsystems/Hub/Content/Sense_Hub/DataIntegration/SourcesConnections/supported-sources.htm)";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"# Detailed data and communication flows";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"data-movement-gateway_architecture_v2.png";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"The high-level communication sequence is as follows:

- The Data Movement gateway establishes a mutually authenticated and encrypted connection to Qlik Cloud, using HTTPS.

- Qlik Cloud sends a landing task definition to the Data Movement gateway.

- The Data Movement gateway pushes the data from the enterprise data source to the data warehouse target.";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"# How to install the data gateway - data movement (Linux only)";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"[Visit this instruction video](https://youtu.be/auTmbSMfM4M)";;;;;;;;
"Data gateway - data movement";"Data movement introduction";"[This clickable video demonstrates Qlik Replicate but has the same steps as the Gateway - data movement](https://webapps.qlik.com/agile-dw-automation-part1/index.html) so it gives you a good basic understanding of the moving parts. For example a source and target database (schema), and the actual movement of the data. ";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"Below you will find an example OEM use case scenario where we convert source tables into active QVDs which can be consumed by a Qlik Sense app as usual. ";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"We use this approach if you have
-  multiple on premise databases, 
- multiple Qlik Sense SaaS tenants (one for each your customers)
- the data per customer/tenant is not that big for an analytics app.
- you want almost real time data refreshes for the analytics apps without impacting the source database (CPU/Memory usage)";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"data gateway - data movement introduction architecture.png";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"# Detailed architecture in a multitenant setup";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/data%20gateway%20-%20data%20movement%20OEM.md";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"# Complete architecture overview";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"In the beginning of this chapter we discussed the different methods of moving data into the cloud. Below we define an example integrated architecture for the scenario:
- data gateway - data movement 
";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"# Data gateway - data movement";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"The picture below outlines the complete integration
- the embedding of content
- the automatic provisioning using the APIs
- the data replication to the cloud

Your APIs connect to the Qlik Cloud. You setup the security first, next you copy the template apps from the source tenant to each of your customer tenants. Each app tries to reload from the S3 connection. So you only need to change the S3 connection once for each tenant.   Each Qlik Sense cloud tenant has access to on premise data via the Qlik Data Gateway - Data Movement. The data inside the buckets is being refreshed by a continious data replication process using change data capture (CDC) technology. ";;;;;;;;
"Data gateway - data movement";"Common OEM use cases with data movement";"SaaS integration charts - Data movement.png";;;;;;;;
"Integration.qlik.com demo platform";"History";"In this presentation we *demonstrate a sample SaaS platform* with Qlik Sense embedded including:
- What is a dashboard?
- How to connect to and prepare your data.
- The “look and feel” of a dashboard integrated in your solution.
- The possibility to include different ""self service"" levels
- “Security”, re-using the security of your SaaS platform in Qlik Sense
- “SaaS provisioning”, create apps based on templates using the data(base) of each customer.
- ""Best practices"" and example source code";"";"";"";"";"         0";"0";"Technical - 1 hour, CTO, C-Level - non-technical, Integration summary";
"Integration.qlik.com demo platform";"History";"Use the menu in the top to go to your favorite demo.";"";"";"";"";"         0";"0";"Technical - 1 hour, CTO, C-Level - non-technical, Integration summary";
"Integration.qlik.com demo platform";"History";"useCasesOverview.png";"";"";"";"";"         0";"0";"Technical - 1 hour, CTO, C-Level - non-technical, Integration summary";
"Integration.qlik.com demo platform";"History";"!comment
This website is completely focused in showing the key differentiators of our Qlik Sense APIs. What makes us truly unique?  
The website demonstrates a sample SaaS platform with Qlik Sense embedded. If focuses on the following topics through demos and demonstrations:
 - SaaS Provisioning: How can you embed the power of Qlik Sense  within a multi-tenant SaaS application environment. The demo shows you how you can automatically copy and distribute a Template application to each of your customers with their own data.
 - Self Service: This demo shows you the flexible possibilities of creating a personalized dashboard and report through different levels of self service.
 - Embed Qlik Sense: Qlik Sense is a software built from the ground up with the most recent web technologies. In this demo we show the different possibilities to embed Qlik Sense in your web platform.
 - Slide Generator: A collection of presentations and workshops about web, security and API integration with Qlik Sense. The slides are dynamically generated by out Engine API.  
 - Integration Questions? : Here you can find further in depth documentation and videos about integrating Qlik Sense in your platform.";;;;;;;;
"Integration.qlik.com demo platform";"Introduction to a SaaS multi-tenant scenario";"multi-tenant SaaS Applications SaaS application with Qlik Sense.png";"";"";"";"";"         0";"0";"Introduction - 30 minutes, C-Level - non-technical";
"Integration.qlik.com demo platform";"Introduction to a SaaS multi-tenant scenario";"# What would the end result look like for a succesful integration of Qlik Sense into your application architecture?";;;;;;;;
"Integration.qlik.com demo platform";"Introduction to a SaaS multi-tenant scenario";"Your goal is to create within a multi-tenant SaaS platform environment - embedded analytics - within your core application(s) where each of your customers would see and use only their data.";;;;;;;;
"Integration.qlik.com demo platform";"Introduction to a SaaS multi-tenant scenario";"It’s possible for each customer to have a more fine grained authorization structure.  As an example, it is possible to provide authorizations for a specific department or country within a dashboard.";;;;;;;;
"Integration.qlik.com demo platform";"Introduction to a SaaS multi-tenant scenario";"Ultimately you will see a simple solution in our demonstration in which both of our fictitious users, Peter and John, go to the same website, but see different things based on their authorizations. Qlik Sense makes this possible because it uses a dynamic attribute-based security approach in which we re-use all the pre-existing users and roles from your SaaS platform.   This ensures Qlik Sense stays automatically in synch and avoids the overhead of double maintenance.";;;;;;;;
"Integration.qlik.com demo platform";"Introduction to a SaaS multi-tenant scenario";"!comment
In the end you want to provide an integrated view of Qlik Sense in your software. The user should be able to access only his authorized data in a seamless way. Also the user should be able to view Qlik Sense without having to authenticate again. You also want to make sure that the right Qlik Sense content is shown in an automated way with a minimum amount of manual work.";;;;;;;;
"Integration.qlik.com demo platform";"Given the goals, what are typical integration topics you have to deal with?";"integrationTopics.png";"";"";"";"";"         0";"0";"Technical - 2 hours, CTO";
"Integration.qlik.com demo platform";"Given the goals, what are typical integration topics you have to deal with?";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/integrationTopics.md";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"# Introduction to a Qlik Sense App";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"Apps are task-specific, purpose-built applications. Apps contain data loaded from data sources that is interpreted through visualizations.";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Qlik Sense product tour](https://youtu.be/sd84bsRWSLY?t=19)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"app - what is a qvf.png";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[A Practical Example of the Associative Difference](https://youtu.be/CuxKfp7PW1o)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Insight Advisor Chat & Business Logic](https://youtu.be/PO7GwxfdfFQ)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"# Demo and examples";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[The power of the associative engine - walk through](https://webapps.qlik.com/associative-difference/index.html)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Qlik Sense Demos page](https://demos.qlik.com/qliksense)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Visualization examples](https://showcase3.qlik.com/sense/app/6157ecd5-a867-4dbb-9534-c1c8ebdd6db3/sheet/96dfa6e5-c65c-4299-bd6b-31d2710f8390/state/analysis)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"web integration examples.png";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"> Note that the demos tagged with _mashup_ are custom HTML pages which embedded Qlik Sense objects via our APIs.";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"# 2 ways to design your app";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"On a high level you can create the design in 2 ways (or use the APIs)
- Use AI
- Drag and drop
";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"## use AI";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Walk through](https://webapps.qlik.com/insight-advisor/index.html)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Video](https://youtu.be/jcyI_g0Ms2Y?list=PLkRFvjyuHFvLVhmiDe8ZPPbIgPzMnQGd3&t=123)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"# Drag and drop";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Walkthrough](https://webapps.qlik.com/simplified-authoring-experience/index.html)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[Video](https://youtu.be/MEnfRAjbaDk)";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"https://raw.githubusercontent.com/QHose/QRSMeteor/979c8ccdcee1e8ab7c19ee9fdfb035c98507ef37/public/images/options%20for%20creating%20charts.png";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"# Alerting";;;;;;;;
"What is a Qlik Sense app?";"What's an app?";"[ Qlik Alerting](https://youtu.be/x-5lC14dV80)";;;;;;;;
"What is a Qlik Sense app?";"Try the Self Service Dashboard creation demo";"Here we demonstrate [full screen](https://integrationdemo2.qlik.com) the effect of applying different access rights (derived from your platform) for some fictitious
        users. Qlik on a user to automatically login into Qlik Sense ""as this user"". 
- John can analyse data in predefined sheets and apps. He can only see
        Germany. 
- Linda can create her own sheets in predefined apps. She can only see
        USA. 
- Paul can maintain apps and sheets of his own department in the Qlik
        Management Console (QMC). 
- Martin can create his own sheets and apps and can display all countries. ";;;;;;;;
"What is a Qlik Sense app?";"Try the Self Service Dashboard creation demo";"iframe https://integrationdemo2.qlik.com";"";"";"";"";"         0";"0";"Introduction - 30 minutes, CTO, Business Analyst, Product Owner";
"What is a Qlik Sense app?";"Try the Self Service Dashboard creation demo";"> Note this demo demonstrates Self Service Capabilities using Qlik Sense SaaS, the capabilities in client managed are comparable. But SaaS contains more advanced features like Qlik Application Automation and Notes and a more powerfull AI Engine, read more in the [Qlik help](https://help.qlik.com/en-US/migration/Content/Migration/differences-qcs-qse.htm) ";;;;;;;;
"What is a Qlik Sense app?";"Try the Self Service Dashboard creation demo";"!comment
Click on the link to see our self-service demo. With our governed self-service you have the possibility to define how to implement guided self-service. By creating IdP groups which we assigned to Qlik roles we have created different levels of self service on Qlik Sense.
 - A consumer can only analyze data.
 - A contributor can create own private sheets.
 - A developer has the possibility to create its own sheets and apps.
 - An admin can maintain the content of its department through the Qlik Management Console (QMC).

By using row level security each user can only see the data it has access to.
In the example here, John can only see data from Germany and Linda can only see data from the USA while Martin can see all the data.";;;;;;;;
"What is a Qlik Sense app?";"How to connect to your data?";"# How to load (index) the data into your app?";;;;;;;;
"What is a Qlik Sense app?";"How to connect to your data?";"[How to load your data enhanced by AI 2M](https://youtu.be/b2wFIjqV8U8)";;;;;;;;
"What is a Qlik Sense app?";"How to connect to your data?";"[Overview of data connectors](https://youtu.be/SUN4P9FQwhQ)";;;;;;;;
"What is a Qlik Sense app?";"How to connect to your data?";"[Training video on how to load data](https://learning.qlik.com/pluginfile.php/99033/mod_resource/content/9/Load_Data/Load_Data.html)";;;;;;;;
"What is a Qlik Sense app?";"How to connect to your data?";"datamarket data model simple.png";;;;;;;;
"What is a Qlik Sense app?";"How to connect to your data?";"> Remember: Apps are task-specific, purpose-built applications. Apps contain data loaded from data sources that is interpreted through visualizations. That means your data is indexed into the app and does normally not contain a live connecting to your source for performance reasons. (Although this is also an option)";;;;;;;;
"What is a Qlik Sense app?";"How to connect to your data?";"datamarket visual data preparation easy.png";;;;;;;;
"What is a Qlik Sense app?";"Tutorial - Building an app (dashboard)";"# Create Your First App and Visualization (20M)";"";"";"";"";"         0";"0";"Technical - 2 hours";
"What is a Qlik Sense app?";"Tutorial - Building an app (dashboard)";"https://youtu.be/u54qqmRQ16w?t=61";"";"";"";"";"         0";"0";"Business Analyst, CTO, Developer";
"What is a Qlik Sense app?";"Tutorial - Building an app (dashboard)";"[Sample data](https://help.qlik.com/en-US/sense/April2018/Content/Tutorials/Tutorials-building-app.htm)";"";"";"";"";"         0";"0";"Technical - 2 hours";
"What is a Qlik Sense app?";"Tutorial - Building an app (dashboard)";"> This short video shows all the elements of building a basic Qlik Sense app
 - Creating a new app: How do you create a new app?
 - Adding content: How can you add your own images, clips and style to an app?
 - Loading the data and creating the associative model: How is data loaded and how are associations made?
 - Creating visualizations: How can you make new sheets and visualizations in an app?";"";"";"";"";"         0";"0";"Technical - 2 hours";
"What is a Qlik Sense app?";"Tutorial - Building an app (dashboard)";"[Go to the new to Qlik Sense YouTube channel](https://www.youtube.com/channel/UCFxZPr8pHfZS0n3jxx74rpA)";"";"";"";"";"         0";"0";"Business Analyst, CTO, Developer";
"What is a Qlik Sense app?";"Collaborating with other users";"# Introduction
The cloud hub is a collaborative environment for developing and sharing content.

Use shared spaces to develop and share content with other members of your cloud hub. You can also share your personal apps with other cloud hub members. Use notes to capture and share insights.";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"# Working with Notes";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"Create notes to capture data insights and collaborate with others.";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"[Capturing and sharing insights using Notes](https://help.qlik.com/en-US/cloud-services/Subsystems/Hub/Content/Sense_Hub/Notes/notes-overview.htm)";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"[Collaborative Notes Overview (Quick Demo) video](https://youtu.be/u0_9DYejnT0)";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"# Working in spaces";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"You can collaborate and share apps with other users in spaces. A space is a user-created section in the cloud hub. Shared spaces enable the collaborative development of apps and controlled access to apps in the space. Managed spaces enable governed access to apps in that space.";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"[Working in spaces](https://help.qlik.com/en-US/cloud-services/Subsystems/Hub/Content/Sense_Hub/Spaces/Spaces.htm)";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"[Working in spaces video](https://youtu.be/9QYpw3hx7c0)";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"# Granting access to sheets, bookmarks, and stories";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"You can make your sheets, bookmarks, and stories public so users with access to your app can view them.";;;;;;;;
"What is a Qlik Sense app?";"Collaborating with other users";"[Granting access to sheets, bookmarks, and stories](https://help.qlik.com/en-US/cloud-services/Subsystems/Hub/Content/Sense_Hub/Share/make-public-or-private.htm)";;;;;;;;
"What is a Qlik Sense app?";"Reporting";"Reporting can be divided into two ways:
- let the user subscribe to sheets or charts
- let the system send a report or email via email/teams or some other system via Qlik Application Automation. ";;;;;;;;
"What is a Qlik Sense app?";"Reporting";"[Self-service reporting via a subscription capability](https://youtu.be/GY2045AZIyI)";;;;;;;;
"What is a Qlik Sense app?";"Reporting";"[Generate a report using Qlik Application Automation](https://youtu.be/RjbHlbkC7sI)";;;;;;;;
"What is a Qlik Sense app?";"Reporting";"[Sending a Personalized Email to Customers using Qlik App Automation](https://youtu.be/CC1evZTOZtI)";;;;;;;;
"Provision apps to your customers (demo)";"How to create a multi-tenant SaaS platform with Qlik Sense embedded?";"https://youtu.be/OulQS-1fH-A How to create a multi-tenant SaaS platform with Qlik Sense embedded?";"";"";"";"";"         0";"0";"Technical - 1 hour, CTO, Integration summary";
"Provision apps to your customers (demo)";"How to create a multi-tenant SaaS platform with Qlik Sense embedded?";"simple intro to saas automation.gif";"";"";"";"";"         0";"0";"Technical - 1 hour, CTO, Integration summary";
"Provision apps to your customers (demo)";"How to create a multi-tenant SaaS platform with Qlik Sense embedded?";"> Although the video talks about Qlik Sense Client Managed (Windows), the principle for SaaS is the same. But instead of creating a stream for each customer you will create a tenant for each customer.";;;;;;;;
"Provision apps to your customers (demo)";"Introduction to demo";"In the next slide you can play with a real SaaS provisioning demo. Here we give you an overview.";"";"";"";"";"         0";"0";"Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes";
"Provision apps to your customers (demo)";"Introduction to demo";"- The left side shows *the broker* (the API tool) in your SaaS platform, a piece of software that you already use today to mass maintain the SaaS applications for all of your customers.";"";"";"";"";"         0";"0";"Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes";
"Provision apps to your customers (demo)";"Introduction to demo";"- This broker executes its activities based on *your customers*, *their access rights*, and the relevant *template apps*. ";"";"";"";"";"         0";"0";"Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes";
"Provision apps to your customers (demo)";"Introduction to demo";"- The right side shows you the result of the activities of the broker: the apps and streams automatically created in Qlik Sense via the APIs.";"";"";"";"";"         0";"0";"Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes";
"Provision apps to your customers (demo)";"Introduction to demo";"SaaS logo.png An example of steps to finish the demo - from selecting customers, template apps, and in the end start provisioning Qlik sense apps";"";"";"";"";"         0";"0";"Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes";
"Provision apps to your customers (demo)";"Introduction to demo";"!comment
The left side of the screen will show the 'broker'. This is a software capability that is already in place and manages the current SaaS platform. This piece of software will maintain the control of the SaaS platform and will communicate with our Sense platform through our APIs. This means that the control stays completely in the existing platform.

In this demo, the broker will define following parameters:
 - Which customers need access to the applications?
 - What will be the roles and the access rights to the apps?
 - Which apps should be provided?";;;;;;;;
"Provision apps to your customers (demo)";"Use the interactive provisioning demo";"iframe generation_embedded This demo shows you how to copy an app (dashboard) which serves as a ""template layout"" for each of your customers. Besides creating a copy, we will also reload the app with data from the customer database.";"";"";"";"";"         0";"0";"Hosting Ops, CTO, Introduction - 30 minutes";
"Provision apps to your customers (demo)";"Use the interactive provisioning demo";"Open demo in [new tab](/generation)";"";"";"";"";"         0";"0";"Hosting Ops, CTO, Introduction - 30 minutes";
"Provision apps to your customers (demo)";"Use the interactive provisioning demo";"!comment 
<p> This demo shows you how to copy an app (dashboard) which serves as a ""template layout"" for each of your customers. Besides creating a copy, we will also reload the app with data from the customer database.

 In the demo you will see a screen divided into two parts:
                        <ul>
                            <li>The left side shows ""the broker"" in your SaaS platform, a piece of software that you already use today to mass maintain the SaaS applications for all of your customers. This broker executes its activities based on the list of your customers, their access rights, and the relevant template apps (depending on what the customer has configured in your platform).</li>
                            <li>The right side shows you the result of the activities of the broker: the apps and streams automatically created in Qlik Sense.</li>
                        </ul>
                        In order to finish the demo, you must complete the following steps:
                        <ol>
                            <li><b>Select your customers</b>. In your SaaS platform you have the ability to store which customers should receive which apps. We simulate this feature by letting you select the customers. By pressing the button, you also select an ""app"" to be used as a template for the layout.</li>
         <li><b>Select your apps</b> Which apps do your customers need to receive?</li>
                            <li><b>Press generate</b>, This will make a copy of the template app for each of your customers. It replaces the generic script with a customer specific one and reloads the app. Because you are able to insert a custom script, you can also specify specific data models like custom fields and tables or create them them on the fly in order to connect to big data sources. In the end we make a unique stream for each customer and publish the app into this stream.</li>
                            <li><b>Select a user and press the green button.</b> This allows you to test the single sign on and make sure that each customer can only see their own data (streams and apps). You can also test row level security by opening the ""row level security"" app in the ""everyone stream"". This demonstrates that each user only sees the values pertaining to the country of their group membership.</li>
                        </ol> </p>";;;;;;;;
"Embed your app ";"Options to embed Qlik Sense: from simple to advanced use cases";"iframe https://saasdemo.qlik.com";"";"";"";"";"         0";"0";"Product Owner, Introduction - 30 minutes, CTO, Developer";
"Embed your app ";"Options to embed Qlik Sense: from simple to advanced use cases";"!comment
In our  'Embedding Qlik Sense' demo we have embedded  different parts of Qlik Sense.
On the left side of the screen you can choose which example you want to see. On the right side you will see the result.
Basically there are 3 main ways of embedding Qlik Sense:
 - Through an IFrame: This method allows to embed the full hub, a complete app, a complete sheets or a collection of multiple objects. It allows Qlik Sense to be embedded is a fast and easy way. When using IFrame you are using the layout and objects defined in Qlik Sense. Note that you can change the colors and fonts using ""themes"".
 - With Div tags you have the possibility to embed individual Qlik Sense objects like charts in a web page.  A Div tag is nothing more than a reserved place on a webpage. This allows you to make a customized webpage in which you can have your own layout and functionality.
- Finally you can use Qlik Sense APIs to get the data to be used by your own vizalization library. The JavaScript charts can be built on the fly through our APIs or via external visualizations libraries(Eg. D3 charts)";;;;;;;;
"Predictive analytics";"Introduction";"automl vs predictive.png";;;;;;;;
"Predictive analytics";"Introduction";"Use cases with machine learning, unlocking its power for everyone.  For the business user, this means solving business problems using exploratory analysis, through interactive dashboards and natural language with Insight Advisor.  They can make decisions using insights from ML models, exploring visually, in real-time, from both AutoML and advanced analytics integration with Data Science.";;;;;;;;
"Predictive analytics";"Introduction";"For the analyst and analytics teams, their role is still to create visualizations and analyses quickly using auto-generated insights and authoring assistance.  They can also now leverage AutoML to easily generate predictive analytics where data science teams don’t focus, with full explainability.  And they can both publish automated models for consumers and consume models from data science.";;;;;;;;
"Predictive analytics";"Introduction";"And the data scientist can continue to build sophisticated models to tackle complex problems using the tool of their choice.  Qlik delivers the power of data science and machine learning to decision makers through real-time advanced analytics integration, allowing them to interactively explore calculations.";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"# Introduction to Qlik AutoML";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"Qlik AutoML is part of a full suite of augmented analytics capabilities available in Qlik Cloud, it recognizes patterns and drivers in historical data to create machine learning models that can predict future outcomes; using a simple no code approach for business analysts and analytics teams. ";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/public/images/automl%20vs%20predictive.png";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"[AutoML in 60 seconds](https://youtu.be/VDYtNcF5jEk)";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"[Qlik AutoML - What you should know](https://youtu.be/4TCGyiWfqT4)";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"[Basic Walkthrough Creating a Qlik Sense Predictive Analytics App - 24M](https://youtu.be/vwAt3aH4Hec)";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"[Deep dive Building a Predictive analysis dashboard using Qlik Sense & Qlik AutoML](https://youtu.be/bN5OaY3kc6o)";;;;;;;;
"Predictive analytics";"Predictive analytics with AutoML";"Make sure you check the [free AutoML trainings](https://learning.qlik.com/mod/page/view.php?id=24708&Category=Qlik+AutoML), search for ""AutoML"".";;;;;;;;
"White labeling";;;;;;;;;;
